SALE TYPE,HOME TYPE,ADDRESS,CITY,STATE,ZIP,LIST PRICE,BEDS,BATHS,LOCATION,SQFT,LOT SIZE,YEAR BUILT,PARKING SPOTS,PARKING TYPE,DAYS ON MARKET,STATUS,NEXT OPEN HOUSE DATE,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,RECENT REDUCTION DATE,ORIGINAL LIST PRICE,LAST SALE DATE,LAST SALE PRICE,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,LISTING ID,ORIGINAL SOURCE,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,IS SHORT SALE
Past Sale,Single Family Residential,239 Madrid St,San Francisco,CA,94112,549000,2,1.0,Excelsior,925,2495,1922,1,Garage,,Sold,,,,,549000,2014-11-04,715000.0,http://www.redfin.com/CA/San-Francisco/239-Madrid-St-94112/home/1868912,San Francisco Association of Realtors (SFARMLS),425865,Zephyr Real Estate,N,Y,37.725528,-122.429501,false
Past Sale,Single Family Residential,125 London St,San Francisco,CA,94112,,,1.0,94112,1350,,1925,,,,,,,,,,2013-06-18,650000.0,http://www.redfin.com/CA/San-Francisco/125-London-St-94112/home/1918027,,,,N,Y,37.726913,-122.431724,
Past Sale,Single Family Residential,1762 Alemany,San Francisco,CA,94112,688000,2,1.0,Mission Terrace,1525,2831,1938,1,Garage,,Sold,,,,,688000,2014-02-14,762000.0,http://www.redfin.com/CA/San-Francisco/1762-Alemany-Blvd-94112/home/1827948,San Francisco Association of Realtors (SFARMLS),416390,Proximity R.E.,N,Y,37.724194,-122.437705,false
Past Sale,Condo/Coop,1805 San Jose Ave #2,San Francisco,CA,94112,599000,2,2.0,Mission Terrace,1092,,1991,1,Garage,,Sold,,,,,599000,2014-11-21,665000.0,http://www.redfin.com/CA/San-Francisco/1805-San-Jose-Ave-94112/unit-2/home/2024539,San Francisco Association of Realtors (SFARMLS),426418,Zephyr Real Estate,N,Y,37.728611,-122.439888,false
Past Sale,Single Family Residential,141 Trumbull St,San Francisco,CA,94112,599000,2,1.0,Excelsior,1170,2186,1954,2,Garage,,Sold,,,,,599000,2014-09-25,750000.0,http://www.redfin.com/CA/San-Francisco/141-Trumbull-St-94112/home/767551,San Francisco Association of Realtors (SFARMLS),424932,Pacific Union International,N,Y,37.731032,-122.427446,false
Past Sale,Single Family Residential,18 Glen Ct,San Francisco,CA,94112,989000,3,4.0,Bernal Heights,2150,,2001,3,,,Sold,,,,,989000,2013-09-27,957250.0,http://www.redfin.com/CA/San-Francisco/18-Glen-Ct-94112/home/1837529,San Francisco Association of Realtors (SFARMLS),413660,Ryan L Call,N,Y,37.733921,-122.429897,false
Past Sale,Single Family Residential,231 Cotter St,San Francisco,CA,94112,549000,1,2.0,Mission Terrace,1274,,1927,1,Garage,,Sold,,,,,549000,2013-06-06,595000.0,http://www.redfin.com/CA/San-Francisco/231-Cotter-St-94112/home/1007365,San Francisco Association of Realtors (SFARMLS),405818,TCLI,N,Y,37.729327,-122.436753,false
Past Sale,Single Family Residential,194 Cayuga Ave,San Francisco,CA,94112,749000,2,1.0,Mission Terrace,1891,,1937,1,Garage,,Sold,,,,,749000,2013-07-05,841000.0,http://www.redfin.com/CA/San-Francisco/194-Cayuga-Ave-94112/home/1607492,San Francisco Association of Realtors (SFARMLS),408250,BHG Mason-McDuffie Real Estate,N,Y,37.730795,-122.433004,false
Past Sale,Single Family Residential,10 Rotteck St,San Francisco,CA,94112,769000,2,1.0,Bernal Heights,1062,1833,1946,2,Garage,,Sold,,,,,769000,2014-10-17,850000.0,http://www.redfin.com/CA/San-Francisco/10-Rotteck-St-94112/home/1464847,San Francisco Association of Realtors (SFARMLS),425388,Coldwell Banker Res. R.E. Svcs,N,Y,37.73285,-122.431294,false
Past Sale,Single Family Residential,246 Tingley St,San Francisco,CA,94112,595000,2,1.0,Mission Terrace,1090,2522,1911,1,,,Sold,,,,,595000,2014-10-31,602500.0,http://www.redfin.com/CA/San-Francisco/246-Tingley-St-94112/home/818176,San Francisco Association of Realtors (SFARMLS),425372,Tower Properties,N,Y,37.730539,-122.435132,false
Past Sale,Single Family Residential,123 Ney St,San Francisco,CA,94112,,3,1.0,94112,1325,,1913,,,,,,,,,,2013-05-07,305000.0,http://www.redfin.com/CA/San-Francisco/123-Ney-St-94112/home/767572,,,,N,Y,37.730269,-122.427784,
